candidate_id,rank,score,semantic_score,career_velocity_bonus,expected_roi,junior_title_flag,cv_speech_robotics_flag,langchain_only_flag,reasoning
CAND_0018499,1,139.344,0.883,2.5,Standard,False,False,False,"Outstanding candidate with 7.2 YOE, currently in a relevant domain role as Senior Machine Learning Engineer at Zomato. Demonstrates deep expertise in core technologies like Pinecone, Milvus, Learning to Rank. Strong track record at product engineering firms. Strong availability with immediate 15-day notice. Currently based in Noida."
CAND_0081846,2,138.546,1.000,2.5,Standard,False,False,False,"Outstanding candidate with 6.7 YOE, currently in a relevant domain role as Lead AI Engineer at Razorpay. Demonstrates deep expertise in core technologies like Elasticsearch, Learning to Rank, Embeddings. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Jaipur."
CAND_0064326,3,132.248,0.546,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 7.6 YOE, currently in a relevant domain role as Search Engineer at Sarvam AI. Demonstrates deep expertise in core technologies like Milvus, PyTorch, RAG. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Gurgaon."
CAND_0039754,4,130.401,0.953,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 16.2 YOE, currently in a relevant domain role as Senior Applied Scientist at Meta. Demonstrates deep expertise in core technologies like Elasticsearch, Qdrant, Fine-tuning LLMs. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Indore."
CAND_0077337,5,125.908,0.826,2.5,Standard,False,False,False,"Outstanding candidate with 7.0 YOE, currently in a relevant domain role as Staff Machine Learning Engineer at Paytm. Demonstrates deep expertise in core technologies like Pinecone, RAG, QLoRA. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Kochi."
CAND_0041669,6,119.496,0.518,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 8.0 YOE, currently in a relevant domain role as Recommendation Systems Engineer at CRED. Demonstrates deep expertise in core technologies like FAISS, Milvus, PEFT. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Noida."
CAND_0011687,7,118.125,0.770,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 7.8 YOE, currently in a relevant domain role as Senior NLP Engineer at Niramai. Demonstrates deep expertise in core technologies like TensorFlow, FAISS, PEFT. Strong track record at product engineering firms. Strong availability with immediate 15-day notice. Currently based in Indore."
CAND_0068351,8,117.337,0.515,2.5,Standard,False,False,False,"Outstanding candidate with 6.4 YOE, currently in a relevant domain role as Lead AI Engineer at Sarvam AI. Demonstrates deep expertise in core technologies like Qdrant, Elasticsearch, LoRA. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Delhi."
CAND_0046525,9,113.260,0.819,0.0,Standard,False,False,False,"Outstanding candidate with 6.1 YOE, currently in a relevant domain role as Senior Machine Learning Engineer at Genpact AI. Demonstrates deep expertise in core technologies like TensorFlow, Qdrant, Elasticsearch. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Pune."
CAND_0008295,10,113.194,0.285,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 6.5 YOE, currently in a relevant domain role as AI Research Engineer at Razorpay. Demonstrates deep expertise in core technologies like Weaviate, Kubernetes, QLoRA. Strong track record at product engineering firms. Strong availability with 45-day notice period. Currently based in Pune."
CAND_0080766,11,112.798,0.660,2.5,Standard,False,False,False,"Outstanding candidate with 8.8 YOE, currently in a relevant domain role as Staff Machine Learning Engineer at Salesforce. Demonstrates deep expertise in core technologies like Elasticsearch, LoRA, TensorFlow. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Coimbatore."
CAND_0041610,12,108.271,0.512,0.0,Standard,False,False,False,"Outstanding candidate with 6.7 YOE, currently in a relevant domain role as Recommendation Systems Engineer at Zoho. Demonstrates deep expertise in core technologies like Elasticsearch, LoRA, Learning to Rank. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Indore."
CAND_0086022,13,106.837,0.805,0.0,Standard,False,False,False,"Outstanding candidate with 5.3 YOE, currently in a relevant domain role as Senior Applied Scientist at Sarvam AI. Demonstrates deep expertise in core technologies like Elasticsearch, LoRA, TensorFlow. Strong track record at product engineering firms. Strong availability with immediate 0-day notice. Currently based in Kolkata."
CAND_0068932,14,106.501,0.288,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 5.2 YOE, currently in a relevant domain role as ML Engineer at Krutrim. Demonstrates deep expertise in core technologies like OpenSearch, RAG, Milvus. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Noida."
CAND_0098454,15,105.238,0.276,0.0,High ROI (Bargain),False,False,False,"Outstanding candidate with 6.6 YOE, currently in a relevant domain role as AI Specialist at Meesho. Demonstrates deep expertise in core technologies like Weaviate, Pinecone, OpenSearch. Strong track record at product engineering firms. Strong availability with 60-day notice period. Currently based in Indore."
CAND_0070525,16,105.084,0.291,0.0,Standard,False,False,False,"Solid Senior Software Engineer (ML) with 5.4 YOE, currently at Mad Street Den matching the senior engineering profile. Has hands-on experience utilizing Embeddings. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Hyderabad."
CAND_0004402,17,104.520,0.325,0.0,Standard,False,False,False,"Solid AI Research Engineer with 6.0 YOE, currently at Yellow.ai matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, PEFT, Learning to Rank. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Delhi."
CAND_0053605,18,103.632,0.297,2.5,Standard,False,False,False,"Solid Senior Software Engineer (ML) with 6.9 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing RAG. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0079387,19,102.996,0.521,0.0,Standard,False,False,False,"Solid AI Engineer with 6.9 YOE, currently at Microsoft matching the senior engineering profile. Has hands-on experience utilizing LoRA, Learning to Rank, QLoRA. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Trivandrum."
CAND_0068811,20,102.121,0.496,0.0,High ROI (Bargain),False,False,False,"Solid Applied ML Engineer with 8.0 YOE, currently at Freshworks matching the senior engineering profile. Has hands-on experience utilizing Qdrant, Pinecone, TensorFlow. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Pune."
CAND_0033179,21,101.743,0.289,0.0,High ROI (Bargain),False,False,False,"Solid AI Research Engineer with 6.9 YOE, currently at Wipro matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, PyTorch, scikit-learn. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Ahmedabad."
CAND_0044855,22,101.405,0.508,2.5,Standard,False,False,False,"Solid Senior Data Scientist with 6.6 YOE, currently at Flipkart matching the senior engineering profile. Has hands-on experience utilizing Pinecone, Learning to Rank, Embeddings. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Coimbatore."
CAND_0050454,23,100.261,0.541,0.0,Standard,False,False,False,"Solid AI Engineer with 6.8 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing LoRA, Fine-tuning LLMs, FAISS. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Delhi."
CAND_0062247,24,99.828,0.530,0.0,Standard,False,False,False,"Solid AI Engineer with 7.3 YOE, currently at Google matching the senior engineering profile. Has hands-on experience utilizing Pinecone, PEFT, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Kochi."
CAND_0072688,25,99.536,0.244,0.0,Standard,False,False,False,"Solid Data Scientist with 6.9 YOE, currently at Niramai matching the senior engineering profile. Has hands-on experience utilizing Qdrant, Milvus, LoRA. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Pune."
CAND_0083879,26,99.487,0.480,0.0,Standard,False,False,False,"Solid Machine Learning Engineer with 7.1 YOE, currently at Ola matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, Milvus, scikit-learn. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0027691,27,98.755,0.478,0.0,Standard,False,False,False,"Solid NLP Engineer with 6.5 YOE, currently at Haptik matching the senior engineering profile. Has hands-on experience utilizing LoRA, TensorFlow, PEFT. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Pune."
CAND_0037566,28,98.751,0.404,0.0,Standard,False,False,False,"Solid Machine Learning Engineer with 6.9 YOE, currently at LinkedIn matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, LoRA, TensorFlow. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Bangalore."
CAND_0086154,29,98.711,0.214,2.5,High ROI (Bargain),False,False,False,"Solid Data Scientist with 6.8 YOE, currently at Ola matching the senior engineering profile. Has hands-on experience utilizing Qdrant, OpenSearch, scikit-learn. Product-focused experience aligns well. Logistics: 90-day notice period. Currently based in Ahmedabad."
CAND_0043860,30,98.179,0.285,0.0,High ROI (Bargain),True,False,False,"Solid Junior ML Engineer with 6.1 YOE, currently at Aganitha matching the senior engineering profile. Has hands-on experience utilizing Qdrant, PyTorch. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Bhubaneswar."
CAND_0096104,31,97.334,0.341,2.5,Standard,False,False,False,"Solid AI Specialist with 7.0 YOE, currently at Yellow.ai matching the senior engineering profile. Has hands-on experience utilizing Pinecone, PEFT. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Delhi."
CAND_0076251,32,96.269,0.402,2.5,High ROI (Bargain),False,False,False,"Solid Search Engineer with 7.6 YOE, currently at Haptik matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, Fine-tuning LLMs, PEFT. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Bhubaneswar."
CAND_0036437,33,95.952,0.464,0.0,Standard,False,False,False,"Solid Search Engineer with 4.8 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, FAISS, Milvus. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Kolkata."
CAND_0017960,34,95.497,0.540,0.0,Standard,False,False,False,"Solid Recommendation Systems Engineer with 7.7 YOE, currently at Nykaa matching the senior engineering profile. Has hands-on experience utilizing Qdrant, QLoRA, PEFT. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Bangalore."
CAND_0011327,35,95.466,0.304,2.5,High ROI (Bargain),False,False,False,"Solid AI Research Engineer with 6.3 YOE, currently at Krutrim matching the senior engineering profile. Has hands-on experience utilizing OpenSearch. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Gurgaon."
CAND_0061257,36,95.025,0.482,2.5,Standard,False,False,False,"Solid Staff Machine Learning Engineer with 8.0 YOE, currently at LinkedIn matching the senior engineering profile. Has hands-on experience utilizing PEFT. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0046064,37,94.692,0.855,2.5,Standard,False,False,False,"Solid Senior NLP Engineer with 8.9 YOE, currently at Salesforce matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, Pinecone, PEFT. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Coimbatore."
CAND_0006567,38,94.476,0.622,0.0,Standard,False,False,False,"Solid Senior AI Engineer with 7.9 YOE, currently at Meta matching the senior engineering profile. Has hands-on experience utilizing Kubernetes, scikit-learn. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Noida."
CAND_0007009,39,94.158,0.500,0.0,High ROI (Bargain),False,False,False,"Solid Recommendation Systems Engineer with 7.9 YOE, currently at Wysa matching the senior engineering profile. Has hands-on experience utilizing LoRA, PEFT, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0005260,40,94.040,0.763,0.0,Low ROI (Premium),False,False,False,"Solid Senior NLP Engineer with 5.2 YOE, currently at Netflix matching the senior engineering profile. Has hands-on experience utilizing RAG, LoRA, Embeddings. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Chennai."
CAND_0045250,41,93.363,0.447,0.0,Standard,False,False,False,"Solid Applied ML Engineer with 6.6 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing LoRA, TensorFlow, Milvus. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Delhi."
CAND_0048558,42,93.241,0.280,0.0,Standard,False,False,False,"Solid Data Scientist with 6.7 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing Qdrant, OpenSearch, Elasticsearch. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0005649,43,93.015,0.567,2.5,Standard,False,False,False,"Solid Senior Data Scientist with 7.4 YOE, currently at Sarvam AI matching the senior engineering profile. Has hands-on experience utilizing TensorFlow, Fine-tuning LLMs, RAG. Product-focused experience aligns well. Logistics: 90-day notice period. Currently based in Delhi."
CAND_0057563,44,91.939,0.551,0.0,Standard,False,False,False,"Solid NLP Engineer with 6.8 YOE, currently at Locobuzz matching the senior engineering profile. Has hands-on experience utilizing OpenSearch, RAG, Elasticsearch. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Indore."
CAND_0079064,45,91.546,0.450,2.5,Standard,False,False,False,"Solid Senior Data Scientist with 5.2 YOE, currently at Niramai matching the senior engineering profile. Has hands-on experience utilizing Pinecone, Fine-tuning LLMs, OpenSearch. Product-focused experience aligns well. Logistics: 120-day notice period. Currently based in Noida."
CAND_0064888,46,90.351,0.256,0.0,Standard,False,False,False,"Solid ML Engineer with 5.8 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, TensorFlow, Fine-tuning LLMs. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Vizag."
CAND_0093912,47,90.267,0.550,2.5,Standard,False,False,False,"Solid Senior Data Scientist with 5.3 YOE, currently at Razorpay matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, Milvus, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Chandigarh."
CAND_0098846,48,89.677,0.405,0.0,Standard,False,False,False,"Solid AI Engineer with 7.6 YOE, currently at upGrad matching the senior engineering profile. Has hands-on experience utilizing TensorFlow, Qdrant, QLoRA. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Indore."
CAND_0073883,49,89.630,0.292,2.5,Standard,False,False,False,"Solid AI Specialist with 5.3 YOE, currently at Krutrim matching the senior engineering profile. Has hands-on experience utilizing OpenSearch, FAISS, PEFT. Product-focused experience aligns well. Logistics: 90-day notice period. Currently based in Chandigarh."
CAND_0066999,50,89.507,0.343,0.0,Low ROI (Premium),False,False,False,"Solid Recommendation Systems Engineer with 5.9 YOE, currently at Microsoft matching the senior engineering profile. Has hands-on experience utilizing Pinecone, FAISS, OpenSearch. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Delhi."
CAND_0005509,51,88.982,0.286,0.0,Standard,False,False,False,"Solid Data Scientist with 6.0 YOE, currently at Ola matching the senior engineering profile. Has hands-on experience utilizing Qdrant, Fine-tuning LLMs. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0067866,52,88.595,0.323,2.5,Standard,False,False,False,"Solid Senior Software Engineer (ML) with 6.4 YOE, currently at Tech Mahindra matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, LoRA, PEFT. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Noida."
CAND_0046132,53,87.013,0.297,0.0,Low ROI (Premium),False,False,False,"Solid AI Research Engineer with 4.3 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, PyTorch. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0060054,54,86.986,0.600,0.0,Standard,False,False,False,"Solid AI Engineer with 6.4 YOE, currently at Mad Street Den matching the senior engineering profile. Has hands-on experience utilizing TensorFlow, Weaviate, FAISS. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Jaipur."
CAND_0051004,55,85.878,0.387,2.5,Low ROI (Premium),False,False,False,"Solid Senior Data Scientist with 4.7 YOE, currently at CRED matching the senior engineering profile. Has hands-on experience utilizing LoRA, Fine-tuning LLMs, PEFT. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Delhi."
CAND_0052328,56,85.833,0.376,0.0,High ROI (Bargain),False,False,False,"Solid Recommendation Systems Engineer with 6.5 YOE, currently at Amazon matching the senior engineering profile. Has hands-on experience utilizing LoRA, Fine-tuning LLMs, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Pune."
CAND_0097176,57,85.744,0.260,2.5,Standard,False,False,False,"Solid ML Engineer with 5.9 YOE, currently at TCS matching the senior engineering profile. Has hands-on experience utilizing PyTorch, FAISS. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Gurgaon."
CAND_0015967,58,85.690,0.289,2.5,Standard,False,False,False,"Solid Senior Software Engineer (ML) with 5.4 YOE, currently at Razorpay matching the senior engineering profile. Has hands-on experience utilizing TensorFlow, Pinecone, QLoRA. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Hyderabad."
CAND_0042029,59,85.478,0.570,2.5,Low ROI (Premium),False,False,False,"Solid Senior Data Scientist with 6.5 YOE, currently at Flipkart matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, Learning to Rank, Embeddings. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Delhi."
CAND_0018888,60,85.434,0.217,0.0,Standard,False,False,False,"Solid AI Research Engineer with 6.5 YOE, currently at Razorpay matching the senior engineering profile. Has hands-on experience utilizing FAISS. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0042506,61,84.956,0.500,0.0,Low ROI (Premium),False,False,False,"Competent developer as Search Engineer with 4.2 YOE. Demonstrates familiarity with TensorFlow, Fine-tuning LLMs, FAISS. Minor concerns: experience (4.2 yrs) is outside the sweet spot."
CAND_0017178,62,84.567,0.311,0.0,Standard,False,False,False,"Competent developer as ML Engineer with 4.2 YOE. Demonstrates familiarity with QLoRA, PEFT. Minor concerns: experience (4.2 yrs) is outside the sweet spot."
CAND_0069905,63,84.545,0.493,0.0,High ROI (Bargain),False,False,False,"Competent developer as Applied ML Engineer with 6.6 YOE. Demonstrates familiarity with TensorFlow, Weaviate, LoRA. Minor concerns: notice period of 90 days."
CAND_0010149,64,84.121,0.318,0.0,Standard,False,False,False,"Competent developer as ML Engineer with 6.9 YOE. Demonstrates familiarity with Elasticsearch, Milvus, PEFT. Minor concerns: notice period of 90 days, career background has consulting tenure."
CAND_0073314,65,83.850,0.239,2.5,Low ROI (Premium),False,False,False,"Competent developer as Senior Software Engineer (ML) with 5.2 YOE. Demonstrates familiarity with Elasticsearch, Milvus, PEFT."
CAND_0026942,66,82.989,0.246,0.0,High ROI (Bargain),True,False,False,"Competent developer as Junior ML Engineer with 6.0 YOE. Demonstrates familiarity with TensorFlow, Learning to Rank, scikit-learn. Minor concerns: career background has consulting tenure, current title reads junior despite the stated YOE."
CAND_0005311,67,82.405,0.292,0.0,Standard,False,False,False,"Competent developer as AI Research Engineer with 5.7 YOE. Demonstrates familiarity with LoRA, Fine-tuning LLMs, QLoRA."
CAND_0061655,68,82.341,0.497,0.0,Standard,False,False,False,"Competent developer as Machine Learning Engineer with 4.6 YOE. Demonstrates familiarity with Elasticsearch, Pinecone, PEFT. Minor concerns: experience (4.6 yrs) is outside the sweet spot."
CAND_0088025,69,82.340,0.724,2.5,Standard,False,False,False,"Competent developer as Staff Machine Learning Engineer with 8.6 YOE. Demonstrates familiarity with Elasticsearch, LoRA, TensorFlow. Minor concerns: notice period of 90 days."
CAND_0028793,70,81.986,0.565,2.5,Standard,False,False,False,"Competent developer as Search Engineer with 7.2 YOE. Demonstrates familiarity with LoRA, PEFT, Learning to Rank. Minor concerns: notice period of 120 days."
CAND_0071974,71,81.314,0.706,0.0,Standard,False,False,False,"Competent developer as Senior AI Engineer with 7.8 YOE. Demonstrates familiarity with Elasticsearch, LoRA, Pinecone."
CAND_0011162,72,81.211,0.552,0.0,Standard,False,False,False,"Competent developer as Recommendation Systems Engineer with 5.8 YOE. Demonstrates familiarity with LoRA, Pinecone, FAISS. Minor concerns: notice period of 90 days."
CAND_0002025,73,81.175,0.699,0.0,Standard,False,False,False,"Competent developer as Senior AI Engineer with 5.9 YOE. Demonstrates familiarity with TensorFlow, Pinecone, Fine-tuning LLMs."
CAND_0000031,74,81.096,0.536,0.0,Standard,False,False,False,"Competent developer as Recommendation Systems Engineer with 6.0 YOE. Demonstrates familiarity with Pinecone, FAISS, scikit-learn."
CAND_0082086,75,80.441,0.207,2.5,Standard,False,False,False,"Competent developer as Senior Software Engineer (ML) with 6.0 YOE. Demonstrates familiarity with Pinecone, FAISS, Milvus."
CAND_0091580,76,79.827,0.291,0.0,Standard,False,False,False,"Competent developer as Data Scientist with 5.5 YOE. Demonstrates familiarity with Qdrant, FAISS, QLoRA."
CAND_0090155,77,79.657,0.274,0.0,Standard,False,False,False,"Competent developer as ML Engineer with 5.8 YOE. Demonstrates familiarity with Pinecone, Milvus, PEFT. Minor concerns: notice period of 90 days."
CAND_0083852,78,79.535,0.302,0.0,Standard,False,False,False,"Competent developer as Data Scientist with 6.0 YOE. Demonstrates familiarity with Qdrant, Pinecone, QLoRA. Minor concerns: notice period of 90 days."
CAND_0024147,79,78.641,0.321,0.0,High ROI (Bargain),False,False,False,"Competent developer as ML Engineer with 5.9 YOE. Demonstrates familiarity with Qdrant, OpenSearch, QLoRA."
CAND_0006538,80,78.443,0.330,0.0,Standard,False,False,False,"Competent developer as AI Specialist with 5.7 YOE. Demonstrates familiarity with Elasticsearch, TensorFlow, PEFT. Minor concerns: career background has consulting tenure."
CAND_0018549,81,78.295,0.507,0.0,Standard,False,False,False,"Competent developer as Recommendation Systems Engineer with 6.8 YOE. Demonstrates familiarity with Elasticsearch, Fine-tuning LLMs, Milvus."
CAND_0020877,82,78.065,0.459,0.0,Standard,False,False,False,"Competent developer as Applied ML Engineer with 5.1 YOE. Demonstrates familiarity with Elasticsearch, Milvus, PEFT."
CAND_0043637,83,77.839,0.236,0.0,Standard,True,False,False,"Competent developer as Junior ML Engineer with 5.5 YOE. Demonstrates familiarity with PyTorch, QLoRA, Milvus. Minor concerns: current title reads junior despite the stated YOE."
CAND_0067717,84,77.761,0.308,0.0,High ROI (Bargain),False,False,False,"Competent developer as AI Specialist with 6.9 YOE. Demonstrates familiarity with PyTorch, FAISS, PEFT."
CAND_0054394,85,77.576,0.516,0.0,Low ROI (Premium),False,False,False,"Competent developer as Recommendation Systems Engineer with 4.1 YOE. Demonstrates familiarity with Pinecone, Fine-tuning LLMs, scikit-learn. Minor concerns: experience (4.1 yrs) is outside the sweet spot."
CAND_0039983,86,77.543,0.213,2.5,High ROI (Bargain),False,False,False,"Competent developer as Computer Vision Engineer with 6.6 YOE. Demonstrates familiarity with Fine-tuning LLMs, scikit-learn. Minor concerns: career background has consulting tenure."
CAND_0015057,87,77.334,0.256,2.5,Standard,False,False,False,"Competent developer as ML Engineer with 4.6 YOE. Demonstrates familiarity with Qdrant, QLoRA, PEFT. Minor concerns: experience (4.6 yrs) is outside the sweet spot, notice period of 90 days."
CAND_0026716,88,77.276,0.262,0.0,High ROI (Bargain),False,False,False,"Competent developer as Computer Vision Engineer with 5.6 YOE. Demonstrates familiarity with TensorFlow, Fine-tuning LLMs, Pinecone."
CAND_0066690,89,77.095,0.250,0.0,Standard,False,False,False,"Competent developer as ML Engineer with 4.8 YOE. Demonstrates familiarity with TensorFlow, Pinecone, Elasticsearch. Minor concerns: experience (4.8 yrs) is outside the sweet spot."
CAND_0069718,90,76.925,0.224,2.5,High ROI (Bargain),False,False,False,"Competent developer as ML Engineer with 5.7 YOE. Demonstrates familiarity with Kubernetes, OpenSearch, Elasticsearch."
CAND_0043384,91,76.838,0.195,0.0,Standard,False,False,False,"Competent developer as Computer Vision Engineer with 5.2 YOE. Demonstrates familiarity with PyTorch, QLoRA."
CAND_0054546,92,76.713,0.302,0.0,Standard,False,False,False,"Competent developer as AI Research Engineer with 4.9 YOE. Demonstrates familiarity with Qdrant, FastAPI, LoRA. Minor concerns: experience (4.9 yrs) is outside the sweet spot, notice period of 90 days."
CAND_0073007,93,75.946,0.268,2.5,High ROI (Bargain),False,False,False,"Competent developer as AI Specialist with 5.8 YOE. Demonstrates familiarity with PyTorch, FAISS, Milvus."
CAND_0007596,94,75.798,0.312,0.0,Standard,True,False,False,"Competent developer as Junior ML Engineer with 4.4 YOE. Demonstrates familiarity with Weaviate, LoRA, scikit-learn. Minor concerns: experience (4.4 yrs) is outside the sweet spot, current title reads junior despite the stated YOE."
CAND_0019288,95,75.747,0.214,0.0,Standard,False,False,False,"Competent developer as AI Research Engineer with 5.7 YOE. Demonstrates familiarity with TensorFlow, OpenSearch, FAISS."
CAND_0036184,96,75.616,0.420,0.0,Standard,False,False,False,"Competent developer as Recommendation Systems Engineer with 6.0 YOE. Demonstrates familiarity with Pinecone, FAISS, Embeddings."
CAND_0092692,97,75.426,0.276,0.0,Standard,False,False,False,"Competent developer as AI Specialist with 3.2 YOE. Demonstrates familiarity with Qdrant, QLoRA, Learning to Rank. Minor concerns: experience (3.2 yrs) is outside the sweet spot."
CAND_0005193,98,75.351,0.250,0.0,High ROI (Bargain),False,False,False,"Competent developer as Senior Software Engineer with 6.2 YOE. Demonstrates familiarity with PyTorch, OpenSearch."
CAND_0054123,99,75.298,0.524,0.0,Low ROI (Premium),False,False,False,"Competent developer as Applied ML Engineer with 4.7 YOE. Demonstrates familiarity with Weaviate, Qdrant, Fine-tuning LLMs. Minor concerns: experience (4.7 yrs) is outside the sweet spot."
CAND_0075574,100,75.030,0.536,0.0,Low ROI (Premium),False,False,False,"Competent developer as Machine Learning Engineer with 5.7 YOE. Demonstrates familiarity with Elasticsearch, Qdrant, PyTorch."
